Recipes_RU {
    Recipe_Make_DarkVoidAleFull = "Создать алкоголь: Темное Пустотное Пиво",
    Recipe_Make_ZombiePotionFull = "Создать алкоголь: Зомби-Напиток",
    Recipe_Make_SkeletonLiqueurFull = "Создать алкоголь: Напиток из Скелета",
    Recipe_Make_WhisperOfDarknessFull = "Создать алкоголь: Шепот Тьмы",
    Recipe_Make_ApocalypticExtractFull = "Создать алкоголь: Апокалиптический Экстракт",
    Recipe_Make_FelclothFull = "Создать алкоголь: Демоническая Ткань",
    Recipe_Make_LycanthropeSmoothieFull = "Создать алкоголь: Ликантропический Смузи",
    Recipe_Make_WindyVampireFull = "Создать алкоголь: Ветряной Вампир",
    Recipe_Make_LivingDeadGrogFull = "Создать алкоголь: Живой Мертвец",
    Recipe_Make_CursedDoctorFull = "Создать алкоголь: Проклятый Доктор",
    Recipe_Make_GrimBarrierFull = "Создать алкоголь: Мрачный Барьер",
    Recipe_Make_DragonsBreathFull = "Создать алкоголь: Дыхание Дракона",
    Recipe_Make_DemonicEntityFull = "Создать алкоголь: Демоническая Сущность",
    Recipe_Make_GhostHoundFull = "Создать алкоголь: Призрачная Гончая",
    Recipe_Make_NecromanticDrinkFull = "Создать алкоголь: Некромантический Напиток",
    Recipe_Make_AstralElixirFull = "Создать алкоголь: Астральный Эликсир",
    Recipe_Make_WoundedGhoulFull = "Создать алкоголь: Раненый Упырь",
    Recipe_Make_DeadlyGulpFull = "Создать алкоголь: Смертоносный Глоток",
    Recipe_Make_FlamingWhiskeyFull = "Создать алкоголь: Пылающий Виски",
    Recipe_Make_CryingDragonFull = "Создать алкоголь: Плачущий Дракон",
    Recipe_Make_DragonBloodFull = "Создать алкоголь: Кровь Дракона",
    Recipe_Make_CarrotCocktailFull = "Создать коктейль: Морковный Коктейль",
    Recipe_Make_MidnightAvengerFull = "Создать коктейль: Полуночный Мститель",
    Recipe_Make_BloodOfHeroFull = "Создать коктейль: Кровь Героя",
    Recipe_Make_WatchmakerFull = "Создать коктейль: Часовщик",
    Recipe_Make_SurvivorFull = "Создать коктейль: Выживший",
    Recipe_Make_EmritasNightShadowFull = "Создать алкоголь: Ночная Тень Эмриты"

}
